temperature,humidity,wind_speed,cloud_cover,uv_index,visibility,weather_type,location_coastal,location_inland,season_autumn,season_spring,season_winter
14.0,73,2.3513752571634776,1.0,2,1.5040773967762742,Rainy,0,1,0,0,1
39.0,96,2.2512917986064953,1.0,7,2.3978952727983707,Cloudy,0,1,0,1,0
30.0,64,2.0794415416798357,0.0,5,1.8718021769015913,Sunny,0,0,0,1,0
38.0,83,0.9162907318741551,0.0,7,0.6931471805599453,Sunny,1,0,0,1,0
27.0,74,2.8903717578961645,3.0,1,1.252762968495368,Rainy,0,0,0,0,1
32.0,55,1.5040773967762742,3.0,2,1.791759469228055,Cloudy,0,1,0,0,0
-2.0,97,2.1972245773362196,3.0,1,1.6094379124341003,Snowy,0,1,0,0,1
3.0,85,1.9459101490553132,1.0,1,1.5040773967762742,Snowy,0,1,0,0,1
3.0,83,1.9459101490553132,3.0,0,0.6931471805599453,Snowy,0,0,0,0,1
28.0,74,2.2512917986064953,0.0,8,2.1400661634962708,Sunny,1,0,0,0,1
38.0,43,1.0986122886681098,0.0,11,2.1400661634962708,Sunny,0,1,1,0,0
12.0,59,2.4423470353692043,1.0,3,1.8718021769015913,Cloudy,0,0,1,0,0
-10.0,87,2.772588722239781,3.0,0,0.9162907318741551,Snowy,0,1,0,0,1
24.0,21,1.5040773967762742,0.0,8,1.8718021769015913,Sunny,1,0,0,0,1
10.0,50,2.0149030205422647,1.0,2,2.2512917986064953,Cloudy,0,0,0,0,0
30.0,27,2.0794415416798357,1.0,5,2.1400661634962708,Sunny,0,1,0,1,0
33.0,51,0.4054651081081644,3.0,3,1.8718021769015913,Cloudy,1,0,1,0,0
43.0,46,0.4054651081081644,0.0,9,1.9459101490553132,Sunny,0,0,0,1,0
13.0,102,2.5649493574615367,0.0,4,2.1972245773362196,Sunny,0,1,0,0,0
-10.0,67,2.2512917986064953,3.0,1,1.3862943611198906,Snowy,0,0,0,0,1
-7.0,88,2.6026896854443837,3.0,1,1.3862943611198906,Snowy,0,1,0,0,1
33.0,36,2.1400661634962708,0.0,8,2.3513752571634776,Sunny,0,0,0,0,0
